,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9,coef_x_10,coef_x_11,coef_x_12,coef_x_13,coef_x_14,coef_x_15,coef_x_16,coef_x_17,coef_x_18,coef_x_19,coef_x_20,coef_x_21,coef_x_22,coef_x_23,coef_x_24,coef_x_25,coef_x_26,coef_x_27,coef_x_28,coef_x_29,coef_x_30,coef_x_31,coef_x_32,coef_x_33,coef_x_34,coef_x_35,coef_x_36,coef_x_37,coef_x_38,coef_x_39,coef_x_40,coef_x_41,coef_x_42,coef_x_43,coef_x_44,coef_x_45,coef_x_46,coef_x_47,coef_x_48,coef_x_49,coef_x_50,coef_x_51,coef_x_52,coef_x_53,coef_x_54,coef_x_55,coef_x_56,coef_x_57,coef_x_58,coef_x_59,coef_x_60,coef_x_61,coef_x_62,coef_x_63,coef_x_64,coef_x_65,coef_x_66,coef_x_67,coef_x_68
alpha_1e-15,4.46021664529,-2.08023959545,0.0860965637484,-0.0358584985206,0.143381752831,0.0738284074337,0.164120343462,-0.123873732323,0.0143774678621,0.0517544251637,-0.0307210873433,-0.0784727472786,-4.31251421575e-12,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.87903465814e-18,-1.87903465814e-18,-1.87903465814e-18,-1.87903465814e-18,-1.5311567676e-19,-1.87903465814e-18,-1.5311567676e-19,-1.87903465814e-18,-1.5311567676e-19,-1.87903465814e-18,-1.87903465814e-18,-1.87903465814e-18,-1.5311567676e-19,-1.87903465814e-18,-1.87903465814e-18,-1.87903465814e-18,-1.87903465814e-18,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,-1.5311567676e-19,0.729182572754,-0.0286029497063,-0.177975052134,0.16296891499,-0.0307537782926,-0.103508536373,0.029304981909,-0.05345726072,-0.0965502823754,0.0839399845629,0.0683160162127,0.0151986741253,0.0657013702445,0.0112476653713,-0.0167238807596,0.191557817183,-0.0301387977622,0.0338696836028,0.0195763044955,-0.0163053782691,0.0358855941494,-0.0199393943478,0.0921804845688,-0.0667181378427,0.080999578359,-0.11669164313,0.0459150848654,0.0192648187693,-0.0908138274328
alpha_1e-10,4.46021646839,-2.08023847618,0.0860965523592,-0.035858518661,0.14338171492,0.0738283865482,0.164120344193,-0.123873714272,0.0143774481776,0.0517544116347,-0.0307210876478,-0.0784724533552,-2.6547176619e-07,-4.49616639696e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,-9.40392449659e-19,0.729182477934,-0.0286028518387,-0.177975007857,0.162968796655,-0.0307536893108,-0.103508494557,0.0293048985665,-0.0534572126797,-0.0965502488495,0.0839399265813,0.0683160265952,0.0151987078851,0.0657013310834,0.0112476581374,-0.0167238152259,0.191557733949,-0.0301387245569,0.0338696548371,0.0195762553361,-0.0163053277985,0.0358855514797,-0.0199393563085,0.0921804393191,-0.0667180707711,0.0809995153169,-0.116691587086,0.0459150652471,0.0192647841953,-0.0908137899529
alpha_1e-08,4.46020147214,-2.08012699364,0.0860954487105,-0.0358605397517,0.143378009529,0.07382626081,0.164120472414,-0.123871922392,0.0143755199229,0.0517530991764,-0.0307211322602,-0.0784498516883,-2.00438363311e-05,-2.56585796706e-09,-2.19503083976e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.729173138307,-0.0285932637619,-0.177970704766,0.162957085255,-0.0307448267799,-0.103504330399,0.0292966197639,-0.0534524673037,-0.0965468970553,0.0839342048475,0.0683169689934,0.0152019383286,0.0656973982001,0.0112470008946,-0.016717193117,0.191549550116,-0.0301314754888,0.0338668109168,0.0195713832773,-0.0163003740812,0.0358812469053,-0.0199356517971,0.0921759904393,-0.0667113318439,0.080993331562,-0.11668604811,0.0459131085241,0.0192613199231,-0.0908100951448
alpha_1e-05,4.44516064617,-1.96941649561,0.0849865518926,-0.0378592927264,0.139696063772,0.0717471580626,0.164213638929,-0.122098677029,0.0124387847468,0.0504401892733,-0.0307644737116,-0.0658835857268,-0.0090996574478,-0.000631068932659,-2.93496773306e-05,-1.03058612769e-06,-2.91499210258e-08,-6.91732314722e-10,-1.41610246103e-11,-2.55135308052e-13,-4.02668791431e-15,-2.53342344983e-18,-2.53342344983e-18,-2.53342344983e-18,-0.0,-8.08539398882e-19,-8.08539398882e-19,-4.25830750078e-18,-3.39586547531e-18,-3.39586547531e-18,-0.0,-0.0,-5.12074952626e-18,-2.53342344983e-18,-0.0,-0.0,-0.0,-2.53342344983e-18,-0.0,-2.53342344983e-18,-0.0,0.719895712326,-0.0191006862855,-0.173655434658,0.151402120514,-0.0220679589613,-0.099359334521,0.0211385086525,-0.0487989032167,-0.0931983773394,0.078272319179,0.0692472394913,0.0183977286497,0.0618557838267,0.0105647640133,-0.0102110869554,0.183466367754,-0.022973036808,0.0310466050152,0.0147691485534,-0.0114062800964,0.0316383914234,-0.0162430679277,0.0877651583187,-0.0600627815516,0.0748640342808,-0.111178080075,0.0439467184638,0.0158510206657,-0.087133758213
alpha_0.0001,4.1080834819,-1.00311711934,0.0714917591003,-0.0528890563145,0.10776952956,0.0604872221706,0.155614206644,-0.105742872621,0.0,0.0367626844307,-0.0312884458685,-0.0110550082317,-0.0177410487074,-0.0143166690461,-0.00774988409074,-0.00316697453087,-0.00104233513934,-0.000287833380296,-6.85893785993e-05,-1.439603895e-05,-2.70296310952e-06,-4.59538548099e-07,-7.14363050841e-08,-1.02351899801e-08,-1.36063275222e-09,-1.68771428929e-10,-1.96276224532e-11,-2.14917830844e-12,-2.2236690403e-13,-2.1821895113e-14,-1.92836275852e-15,-9.90773570325e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2867189225e-18,-3.0023441525e-18,-3.0023441525e-18,-7.2914072275e-18,0.679770259812,0.0,-0.117932194251,0.0958594790987,-0.0,-0.0667377613164,-0.0,-0.0417048452997,-0.0620657379099,0.0490682386967,0.0671297229331,0.0357575447731,0.0443455799303,0.0132622268235,0.0,0.156616512046,0.0,0.0187332538356,0.0,-0.0,0.0174526557575,-0.0,0.0604813170229,-0.0174209926936,0.0326792288518,-0.0715793160811,0.0264708236957,0.0,-0.060269109107
alpha_0.001,3.0927326627,2.77358924038,0.013168211038,-0.0932868156224,2.60847092331e-05,0.0,0.0895972022633,-0.0,0.0,0.0,-0.0299007462531,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.522525017489,0.092883832164,0.0,0.0161407136386,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0456801005991,0.0581171776507,0.011985754452,0.0,0.0,0.0942081764357,0.0277678573763,0.0,0.0,0.0,0.0,0.0,0.00467379289946,0.0,0.0,-0.0,0.0,0.0,-0.0
alpha_0.01,3.09456256055,5.41771614305,0.00348439125082,-0.0,0.0,0.0,0.0,0.0,0.0103117255642,0.0,-0.00133249905444,0.000730424335035,0.000746596002624,0.000757061997231,0.000761456915279,0.000759655084188,0.000751770802344,0.00073814898936,0.000719347284253,0.000696110912782,0.00066934178585,0.000640063304058,0.000609382259925,0.000578449089355,0.000548417570286,0.000520404937005,0.000495453300032,0.000474493245217,0.000458310525918,0.000447516837464,0.000442525739983,0.000443534835094,0.00045051526591,0.000463209469009,0.000481137846251,0.000503614646371,0.000529772872626,0.000558597501337,0.000588965756899,0.00061969269667,0.000649579966934,0.224128276259,0.125608533159,0.0570260904426,0.0445897015276,0.0231918830339,0.0,0.0,0.0,0.0,0.0,0.0238817105901,0.0423970793104,0.0341729044409,0.0186243329669,0.0163167329355,0.0352647335599,0.0261965230326,0.0128626208662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000585550055303,0.0
alpha_1,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_5,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_10,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
