,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9,coef_x_10,coef_x_11,coef_x_12,coef_x_13,coef_x_14,coef_x_15,coef_x_16,coef_x_17,coef_x_18,coef_x_19,coef_x_20,coef_x_21,coef_x_22,coef_x_23,coef_x_24,coef_x_25,coef_x_26,coef_x_27,coef_x_28,coef_x_29,coef_x_30,coef_x_31,coef_x_32,coef_x_33,coef_x_34,coef_x_35,coef_x_36,coef_x_37,coef_x_38,coef_x_39,coef_x_40,coef_x_41,coef_x_42,coef_x_43,coef_x_44,coef_x_45,coef_x_46,coef_x_47,coef_x_48,coef_x_49,coef_x_50,coef_x_51,coef_x_52,coef_x_53,coef_x_54,coef_x_55,coef_x_56,coef_x_57,coef_x_58,coef_x_59,coef_x_60,coef_x_61,coef_x_62,coef_x_63,coef_x_64,coef_x_65,coef_x_66,coef_x_67,coef_x_68
alpha_1e-15,4.46021664529,-2.08023959544,0.0860965637483,-0.0358584985206,0.143381752831,0.0738284074335,0.164120343462,-0.123873732323,0.0143774678619,0.0517544251636,-0.0307210873433,-0.0784727472826,-7.92486323436e-15,-3.75806931628e-18,-3.75806931628e-18,-3.75806931628e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-1.16919084421e-18,-3.06231353521e-19,-3.06231353521e-19,-3.06231353521e-19,-3.06231353521e-19,0.729182572754,-0.0286029497061,-0.177975052134,0.16296891499,-0.0307537782921,-0.103508536373,0.0293049819087,-0.0534572607197,-0.0965502823753,0.0839399845627,0.0683160162129,0.0151986741253,0.0657013702443,0.0112476653712,-0.0167238807593,0.191557817183,-0.0301387977619,0.0338696836026,0.0195763044951,-0.0163053782688,0.035885594149,-0.0199393943475,0.0921804845686,-0.0667181378424,0.0809995783588,-0.11669164313,0.0459150848653,0.019264818769,-0.0908138274326
alpha_1e-10,4.46021622104,-2.08023796934,0.0860965467773,-0.03585852412,0.1433816961,0.0738283715869,0.16412033947,-0.123873702192,0.0143774233009,0.0517544049232,-0.030721086306,-0.0784726861864,-2.02638375007e-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.729182489622,-0.0286028315567,-0.177975016468,0.16296875816,-0.0307536449892,-0.103508487785,0.0293048659087,-0.0534571815484,-0.0965502460446,0.0839399087348,0.0683160406101,0.0151986994275,0.065701314399,0.0112476489456,-0.0167237805825,0.191557707337,-0.0301386947681,0.0338696368917,0.0195762230127,-0.0163052917211,0.0358855162538,-0.0199393320111,0.0921804144427,-0.0667180429143,0.0809994972178,-0.116691560497,0.0459150567714,0.0192647597487,-0.0908137710458
alpha_1e-08,4.46017598999,-2.08007774848,0.0860948866079,-0.0358611014757,0.143376131675,0.0738249550832,0.16412000535,-0.12387083861,0.0143730146233,0.0517523807869,-0.0307209932815,-0.0784667308408,-4.26813106498e-18,-2.5422120836e-18,-8.16293102216e-19,-2.5422120836e-18,-2.5422120836e-18,-2.5422120836e-18,-2.5422120836e-18,-4.26813106498e-18,-4.26813106498e-18,-4.26813106498e-18,-5.99405004636e-18,-3.40517157429e-18,-1.67925259291e-18,-5.13109055567e-18,-3.40517157429e-18,-3.40517157429e-18,-3.40517157429e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,-3.40517157429e-18,-1.67925259291e-18,-1.67925259291e-18,-1.67925259291e-18,0.729174080352,-0.0285913097846,-0.177971369023,0.162953426336,-0.0307404378625,-0.103503742271,0.0292933678579,-0.0534493276634,-0.0965466339306,0.0839322592833,0.0683182738731,0.0152012192167,0.0656960673434,0.0112462883985,-0.0167138151861,0.1915467002,-0.0301285755135,0.0338649520162,0.019568110195,-0.0162967989834,0.0358778079333,-0.0199329930563,0.0921737354729,-0.0667085782014,0.0809913657051,-0.11668352558,0.0459121907823,0.0192589050319,-0.0908081052764
alpha_1e-05,4.41672659044,-1.91730463447,0.0843736937129,-0.0384636312981,0.13756186326,0.0703870815896,0.16372441793,-0.120925540619,0.0098216387334,0.0496347797506,-0.0305926041922,-0.0723935012829,-7.55089554354e-19,-2.48100853573e-18,-5.0698870078e-18,-4.20692751711e-18,-4.20692751711e-18,-2.48100853573e-18,-2.48100853573e-18,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,-7.55089554354e-19,0.720743561953,-0.0168398968302,-0.174334549016,0.147478553662,-0.0173403522128,-0.0986982077194,0.0177508425923,-0.0454749448602,-0.0929397861216,0.0762449389695,0.0706953350332,0.0177772505874,0.0603664359493,0.00982806102716,-0.00675535654087,0.180441668273,-0.0199207907838,0.0291101491473,0.0113803921535,-0.00767284122724,0.0281356367438,-0.013538890102,0.0853541825713,-0.0572294699078,0.0727762854258,-0.108529629598,0.0430195704162,0.0133750200624,-0.0850924100006
alpha_0.0001,3.65727840185,-0.464494927967,0.0593192401434,-0.0573285176827,0.0858167087433,0.048399485713,0.144010238397,-0.0900836487272,-0.0,0.0276613986333,-0.0296238892256,-0.0418176064407,-2.86934030654e-16,-6.04071643483e-18,-6.04071643483e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-1.72591898138e-18,-0.0,-0.0,0.702937822209,0.0,-0.11040506524,0.0800449788158,-0.0,-0.0498942869231,-0.0,-0.03912740458,-0.0508175546167,0.040557544655,0.0719687316218,0.0309818789045,0.029971527749,0.00939896919751,0.0,0.159768274916,0.0,0.00534456914801,0.0,0.0,0.011674193265,0.0,0.0493876018139,-0.0,0.0125348504292,-0.0421880547914,0.00814406996783,0.0,-0.0471687716373
alpha_0.001,2.19537451104,2.43374243441,0.0,-0.061546815148,0.0,0.0,0.0543716185438,0.0,0.0,0.0,-0.0225487870797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71397184948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639983100381,0.0315169683825,0.0,0.0,0.0,0.0923893281936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_0.01,3.37917719086,7.16416682729,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625415458516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_1,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_5,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_10,17.3064975,19.1284166667,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
