OBJECTID;TMC;ROAD_NUMBE;ROAD_NAME;DIRECTION;SEGMENT_BE;SEGMENT_EN;COUNTY;ZIP;SORT_KEY;XWAY;ABS_DIRECT;Shape_Leng
3217;129+04885;NULL;Memorial Dr;Westbound;Western Ave;Jfk St;MIDDLESEX;2138;4885.00000000000;0;Westbound;1009.81520325000
3220;129+04889;NULL;Soldiers Field Rd;Westbound;Beginning of Route or Break;River St/River St Brg;SUFFOLK;2134;4889.00000000000;0;Westbound;1105.14447552000
5029;129+08473;NULL;Soldiers Field Rd;Westbound;Beginning of Route or Break;N Harvard St;SUFFOLK;2163;8473.00000000000;0;Westbound;443.25632451800
3221;129+04890;NULL;Soldiers Field Rd;Westbound;River St/River St Brg;Western Ave;SUFFOLK;2134;4890.00000000000;0;Westbound;48.74324812190
4430;129+08513;MA-2;NULL;Bay Village Eastbound;Beginning of Route or Break;US-20/MA-30/University Rd;SUFFOLK;2215;8513.00000000000;0;Eastbound;350.65773143600
4431;129+08514;MA-2;NULL;Bay Village Eastbound;US-20/MA-30/University Rd;Park Dr/Beacon St;SUFFOLK;2215;8514.00000000000;0;Eastbound;611.57187148900
616;129-04891;NULL;Storrow Dr;Westbound;University Rd;MA-2/Boston Univ Brg;SUFFOLK;2215;-4891.10000000000;0;Westbound;18.13353545460
617;129-04892;NULL;Storrow Dr;Westbound;Boylston St;University Rd;SUFFOLK;2215;-4892.10000000000;0;Westbound;1011.10852105000
7117;129+09946;NULL;Beacon St;Bay Village Eastbound;Beginning of Route or Break;MA-2A/Massachusetts Ave;SUFFOLK;2215;9946.00000000000;0;Eastbound;162.86141630200
618;129-04893;NULL;Storrow Dr;Westbound;MA-2A/Massachusetts Ave;Boylston St;SUFFOLK;2215;-4893.10000000000;0;Westbound;119.75780180400
10945;129P05389;US-20;Commonwealth Ave;Back Bay Eastbound;Fenway/Beacon St/Boylston St;Fenway/Beacon St/Boylston St;SUFFOLK;2215;5389.10000000000;0;Eastbound;102.53267532200
7530;129N08512;MA-2;NULL;Westbound;MA-3/Boston Univ Brg;MA-3/Boston Univ Brg;MIDDLESEX;2139;-8512.00000000000;0;Westbound;66.22754189630
7531;129N08513;MA-2;NULL;Westbound;US-20/MA-30/University Rd;US-20/MA-30/University Rd;SUFFOLK;2215;-8513.00000000000;0;Westbound;175.13468107900
5591;129+05389;US-20;Commonwealth Ave;Back Bay Eastbound;Harvard Ave;Fenway/Beacon St/Boylston St;SUFFOLK;2215;5389.00000000000;0;Eastbound;1384.00404316000
2578;129-08512;MA-2;NULL;Westbound;US-20/MA-30/University Rd;MA-3/Boston Univ Brg;MIDDLESEX;2139;-8512.10000000000;0;Westbound;302.13081941800
2444;129-08451;MA-2A;Massachusetts Ave;Dorchester Eastbound;Putnam Ave;Brookline St;MIDDLESEX;2139;-8451.10000000000;0;Eastbound;1199.85205797000
2579;129-08513;MA-2;NULL;Westbound;Park Dr/Beacon St;US-20/MA-30/University Rd;SUFFOLK;2215;-8513.10000000000;0;Westbound;538.69349410100
2445;129-08452;MA-2A;Massachusetts Ave;Dorchester Eastbound;Jfk St;Putnam Ave;MIDDLESEX;2138;-8452.10000000000;0;Eastbound;629.41179889400
11292;129P08448;MA-2A;Massachusetts Ave;Westbound;MA-2A/Commonwealth Ave;MA-2A/Commonwealth Ave;SUFFOLK;2215;8448.10000000000;0;Westbound;44.13554024120
11293;129P08449;MA-2A;Massachusetts Ave;Westbound;Storrow Dr;Storrow Dr;SUFFOLK;2215;8449.10000000000;0;Westbound;45.99831816290
11294;129P08450;MA-2A;Massachusetts Ave;Westbound;Memorial Dr;Memorial Dr;MIDDLESEX;2139;8450.10000000000;0;Westbound;31.88292681840
